country,iso3,year,convention_status_current,convention_signed_year,convention_ratified_year,convention_entry_into_force_year,convention_denounced_effective_year,treatment_main_ratification,post_entry_into_force,active_party_annual_approx,event_time_main_ratification_years,years_since_entry_into_force,outcome_primary_female_intentional_homicide_rate_per_100k,outcome_secondary_sexual_violence_rate_per_100k,outcome_secondary_rape_rate_per_100k,gdp_per_capita_constant_2015_usd,female_labor_force_participation_pct,turkey_post_denunciation_2021_onward,microstate_country,sample_exclude_turkey,sample_exclude_microstates,sample_primary_female_homicide_2000_2023,sample_secondary_sexual_violence_2005_2023,sample_secondary_rape_2005_2023,sample_core_controls_available,sample_primary_full_controls,sample_secondary_sv_full_controls,sample_secondary_rape_full_controls,population_total,grevio_report_year,grevio_report_available,sample_primary_grevio_available,wbl_dv_legislation,wbl_femicide_law,sample_wbl_dv_legislation,sample_wbl_femicide_law,ratified_by_2023,ratification_after_analysis_window,government_effectiveness_wgi,rule_of_law_wgi,wgi_value_status,grevio_baseline_report_year_verified,grevio_report_available_verified,grevio_score_status,wave_shelter_reference_population_2020,wave_shelter_existing_beds_2020,wave_shelter_beds_needed_ic_standard_2020,wave_shelter_beds_missing_2020,wave_shelter_pct_beds_missing_2020,wave_shelter_beds_per_10k_total_population_2020,wave_shelter_meets_ic_minimum_standard_2020,data_quality_note,male_intentional_homicide_rate_per_100k,total_intentional_homicide_rate_per_100k,female_ipf_homicide_rate_per_100k,male_ipf_homicide_rate_per_100k,female_ip_homicide_rate_per_100k,female_share_of_homicide_victims,log_female_male_homicide_ratio,unodc_subregion,post_socialist,convention_denunciation_year,treat_year_first_full_ratification,treat_year_first_full_eif,ever_ratified_verified,treatment_first_full_year_ratification,treatment_first_full_year_eif,treatment_ratification_nonabsorbing
Albania,ALB,2000,party,2011,2013.0,2014.0,,0,0,0,-13.0,-14.0,0.802,,,1991.91,50.8,0,0,1,1,1,0,0,1,1,0,0,3089000,2017.0,0,0,0.0,0.0,1,1,1,0,-1.56,-1.74,retained_legacy_not_independently_reimported,2017.0,0,excluded_until_researcher_coding_rubric_is_documented,2845955.0,153.0,285.0,132.0,46.0,0.537605,0.0,GDP parsed from comma-formatted text to numeric.,7.63370383752114,4.13752044085122,,,,0.09507209065742526,-2.2532198294963175,Southern Europe,1,,2014.0,2015.0,True,0,0,0
Albania,ALB,2001,party,2011,2013.0,2014.0,,0,0,0,-12.0,-13.0,2.417,,,2188.92,49.7,0,0,1,1,1,0,0,0,0,0,0,3060000,2017.0,0,0,0.0,0.0,1,1,1,0,,,retained_legacy_not_independently_reimported,2017.0,0,excluded_until_researcher_coding_rubric_is_documented,2845955.0,153.0,285.0,132.0,46.0,0.537605,0.0,GDP parsed from comma-formatted text to numeric.,11.7938090321681,6.98868960005159,,,,0.1700818014321909,-1.585047633778114,Southern Europe,1,,2014.0,2015.0,True,0,0,0
Albania,ALB,2002,party,2011,2013.0,2014.0,,0,0,0,-11.0,-12.0,2.431,,,2297.11,49.1,0,0,1,1,1,0,0,1,1,0,0,3051000,2017.0,0,0,0.0,0.0,1,1,1,0,-1.06,-1.3,retained_legacy_not_independently_reimported,2017.0,0,excluded_until_researcher_coding_rubric_is_documented,2845955.0,153.0,285.0,132.0,46.0,0.537605,0.0,GDP parsed from comma-formatted text to numeric.,11.5685631811849,6.89194828996724,,,,0.17364827520241558,-1.559988653301326,Southern Europe,1,,2014.0,2015.0,True,0,0,0
Albania,ALB,2003,party,2011,2013.0,2014.0,,0,0,0,-10.0,-11.0,1.318,,,2428.69,48.5,0,0,1,1,1,0,0,1,1,0,0,3022000,2017.0,0,0,0.0,0.0,1,1,1,0,-0.96,-1.22,retained_legacy_not_independently_reimported,2017.0,0,excluded_until_researcher_coding_rubric_is_documented,2845955.0,153.0,285.0,132.0,46.0,0.537605,0.0,GDP parsed from comma-formatted text to numeric.,9.50690315907836,5.32377619293878,,,,0.12175628554188521,-1.975902746969149,Southern Europe,1,,2014.0,2015.0,True,0,0,0
Albania,ALB,2004,party,2011,2013.0,2014.0,,0,0,0,-9.0,-10.0,1.202,,,2567.3,47.8,0,0,1,1,1,0,0,1,1,0,0,2999000,2017.0,0,0,0.0,0.0,1,1,1,0,-0.69,-1.19,retained_legacy_not_independently_reimported,2017.0,0,excluded_until_researcher_coding_rubric_is_documented,2845955.0,153.0,285.0,132.0,46.0,0.537605,0.0,GDP parsed from comma-formatted text to numeric.,7.37539613944108,4.22763729131083,,,,0.1401357685315353,-1.8141627784928516,Southern Europe,1,,2014.0,2015.0,True,0,0,0
Albania,ALB,2005,party,2011,2013.0,2014.0,,0,0,0,-8.0,-9.0,1.341,2.893,1.593,2712.87,47.2,0,0,1,1,1,1,1,1,1,1,1,2977000,2017.0,0,0,0.0,0.0,1,1,1,0,-1.19,-1.3,retained_legacy_not_independently_reimported,2017.0,0,excluded_until_researcher_coding_rubric_is_documented,2845955.0,153.0,285.0,132.0,46.0,0.537605,0.0,GDP parsed from comma-formatted text to numeric.,8.80671058103101,5.00624317533652,0.447013851682081,0.7945904283637,,0.13214803371577374,-1.8820983926051262,Southern Europe,1,,2014.0,2015.0,True,0,0,0
Albania,ALB,2006,party,2011,2013.0,2014.0,,0,0,0,-7.0,-8.0,1.483,2.852,1.311,2894.36,46.7,0,0,1,1,1,1,1,1,1,1,1,2948000,2017.0,0,0,0.0,0.0,1,1,1,0,-0.99,-1.2,retained_legacy_not_independently_reimported,2017.0,0,excluded_until_researcher_coding_rubric_is_documented,2845955.0,153.0,285.0,132.0,46.0,0.537605,0.0,GDP parsed from comma-formatted text to numeric.,4.7992737099119,3.11392865202781,0.902887078170351,0.599909213738988,,0.2360610295696265,-1.1743975328744507,Southern Europe,1,,2014.0,2015.0,True,0,0,0
Albania,ALB,2007,party,2011,2013.0,2014.0,,0,0,0,-6.0,-7.0,1.564,3.341,1.356,3105.88,46.1,0,0,1,1,1,1,1,1,1,1,1,2927000,2017.0,0,0,0.0,0.0,1,1,1,0,-0.73,-1.12,retained_legacy_not_independently_reimported,2017.0,0,excluded_until_researcher_coding_rubric_is_documented,2845955.0,153.0,285.0,132.0,46.0,0.537605,0.0,GDP parsed from comma-formatted text to numeric.,5.44074209035326,3.47350066343863,0.521471762792925,0.6716965543646,,0.22327731411466215,-1.2466688231091123,Southern Europe,1,,2014.0,2015.0,True,0,0,0
Albania,ALB,2008,party,2011,2013.0,2014.0,,0,0,0,-5.0,-6.0,1.253,2.539,1.303,3345.98,45.5,0,0,1,1,1,1,1,1,1,1,1,2893000,2017.0,0,0,1.0,0.0,1,1,1,0,-0.63,-1.02,retained_legacy_not_independently_reimported,2017.0,0,excluded_until_researcher_coding_rubric_is_documented,2845955.0,153.0,285.0,132.0,46.0,0.537605,0.0,GDP parsed from comma-formatted text to numeric.,5.01298974030681,3.10732240524797,0.329648848157477,0.474201732191185,,0.19996840913094882,-1.3864918157479083,Southern Europe,1,,2014.0,2015.0,True,0,0,0
Albania,ALB,2009,party,2011,2013.0,2014.0,,0,0,0,-4.0,-5.0,0.467,2.803,1.148,3459.25,46.0,0,0,1,1,1,1,1,1,1,1,1,2876000,2017.0,0,0,1.0,0.0,1,1,1,0,-0.43,-0.84,retained_legacy_not_independently_reimported,2017.0,0,excluded_until_researcher_coding_rubric_is_documented,2845955.0,153.0,285.0,132.0,46.0,0.537605,0.0,GDP parsed from comma-formatted text to numeric.,5.33251294672614,2.87018701294404,0.467054477567874,0.273462202396213,,0.08052400335852762,-2.43524862056417,Southern Europe,1,,2014.0,2015.0,True,0,0,0
Albania,ALB,2010,party,2011,2013.0,2014.0,,0,0,0,-3.0,-4.0,0.743,2.697,0.819,3579.82,46.8,0,0,1,1,1,1,1,1,1,1,1,2862000,2017.0,0,0,1.0,0.0,1,1,1,0,-0.47,-0.66,retained_legacy_not_independently_reimported,2017.0,0,excluded_until_researcher_coding_rubric_is_documented,2845955.0,153.0,285.0,132.0,46.0,0.537605,0.0,GDP parsed from comma-formatted text to numeric.,7.45588086054672,4.06320641959299,1.01337622842311,0.345179669469756,,0.09062212424324155,-2.3060623325160754,Southern Europe,1,,2014.0,2015.0,True,0,0,0
Albania,ALB,2011,party,2011,2013.0,2014.0,,0,0,0,-2.0,-3.0,1.224,1.511,0.756,3677.89,52.6,0,0,1,1,1,1,1,1,1,1,1,2846000,2017.0,0,0,1.0,0.0,1,1,1,0,-0.34,-0.75,retained_legacy_not_independently_reimported,2017.0,0,excluded_until_researcher_coding_rubric_is_documented,2845955.0,153.0,285.0,132.0,46.0,0.537605,0.0,GDP parsed from comma-formatted text to numeric.,8.60577134951334,4.87720435898422,1.08798352792939,0.832816582210968,,0.12451968173813104,-1.950308881243751,Southern Europe,1,,2014.0,2015.0,True,0,0,0
Albania,ALB,2012,party,2011,2013.0,2014.0,,0,0,0,-1.0,-2.0,1.769,1.512,0.825,3771.85,48.9,0,0,1,1,1,1,1,1,1,1,1,2816000,2017.0,0,0,1.0,0.0,1,1,1,0,-0.46,-0.88,retained_legacy_not_independently_reimported,2017.0,0,excluded_until_researcher_coding_rubric_is_documented,2845955.0,153.0,285.0,132.0,46.0,0.537605,0.0,GDP parsed from comma-formatted text to numeric.,9.09707376303234,5.39518158737926,0.952393586173422,0.972206356354601,,0.16280029370114768,-1.6375383821302645,Southern Europe,1,,2014.0,2015.0,True,0,0,0
Albania,ALB,2013,party,2011,2013.0,2014.0,,1,0,0,0.0,-1.0,1.362,2.992,1.341,3895.9,43.8,0,0,1,1,1,1,1,1,1,1,1,2774000,2017.0,0,0,1.0,0.0,1,1,1,0,-0.55,-0.88,retained_legacy_not_independently_reimported,2017.0,0,excluded_until_researcher_coding_rubric_is_documented,2845955.0,153.0,285.0,132.0,46.0,0.537605,0.0,GDP parsed from comma-formatted text to numeric.,7.22848691087832,4.26472598705621,1.15739125373046,0.764551500189053,,0.15854747398255972,-1.6690755272714486,Southern Europe,1,,2014.0,2015.0,True,0,0,1
